policy,episode,step,variables
PPO,4,2,"[{'variable': 'Ventricles', 'value': 112108.8203125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,7,12,"[{'variable': 'Ventricles', 'value': 112868.296875, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,9,10,"[{'variable': 'TAU_data', 'value': 677.3856201171875, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
PPO,11,14,"[{'variable': 'Ventricles', 'value': 112220.6640625, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,13,15,"[{'variable': 'Ventricles', 'value': 113557.109375, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,18,10,"[{'variable': 'subject_age', 'value': 94.72000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,21,10,"[{'variable': 'TAU_data', 'value': 677.3856201171875, 'lower_bound': -98.47862854, 'upper_bound': 671.9238390503378}]"
PPO,23,17,"[{'variable': 'subject_age', 'value': 94.97000122070312, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,30,14,"[{'variable': 'MidTemp', 'value': 9911.8681640625, 'lower_bound': 10037.345003749057, 'upper_bound': 28777.614263053387}]"
PPO,31,2,"[{'variable': 'Ventricles', 'value': 112844.1328125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,38,15,"[{'variable': 'Hippocampus', 'value': 3063.947021484375, 'lower_bound': 3070.3752762371696, 'upper_bound': 10433.96150592905}]"
PPO,44,18,"[{'variable': 'Ventricles', 'value': 112212.03125, 'lower_bound': -27145.40207, 'upper_bound': 111488.9183929164}]"
PPO,49,13,"[{'variable': 'ADNI_MEM', 'value': 4.04018497467041, 'lower_bound': -3.31908269, 'upper_bound': 3.966936642178734}]"
PPO,60,17,"[{'variable': 'subject_age', 'value': 95.08999633789062, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
PPO,66,6,"[{'variable': 'subject_age', 'value': 94.94999694824219, 'lower_bound': 51.101571202762315, 'upper_bound': 94.64241439147538}]"
